rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,34.5145,10,19,0.9000000000000001,0.2,2.4,1.1,50
2,33.2017,9,20,0.9000000000000001,0.2,2.4,1.2,50
3,33.0244,10,19,0.8,0.2,2.2,1.1,50
4,32.6610,10,19,0.8,0.2,2.3,1.1,50
5,32.6610,10,19,0.8,0.2,2.3,1.1,50
6,32.5418,10,19,0.8500000000000001,0.2,2.2,1.1,50
7,32.5127,10,19,0.95,0.2,2.5,1.2,50
8,32.3869,10,19,0.75,0.2,2.2,1.1,50
9,32.3869,10,19,0.75,0.2,2.2,1.1,50
10,32.1867,9,20,0.75,0.2,2.2,1.1,50
11,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
12,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
13,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
14,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
15,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
16,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
17,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
18,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
19,32.1846,10,19,0.8500000000000001,0.2,2.3,1.1,50
20,32.0191,9,19,0.8,0.2,2.2,1.1,50
21,32.0191,9,19,0.8,0.2,2.2,1.1,50
22,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
23,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
24,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
25,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
26,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
27,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
28,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
29,31.8048,11,17,0.9000000000000001,0.2,2.4,1.1,50
30,31.7794,10,14,0.95,0.2,2.5,1.2,50
31,31.7794,10,14,0.95,0.2,2.5,1.2,50
32,31.1267,9,20,0.75,0.2,2.1,1.1,50
33,30.9693,11,18,0.9000000000000001,0.2,2.5,1.2,50
34,30.9693,11,18,0.9000000000000001,0.2,2.5,1.2,50
35,30.9693,11,18,0.9000000000000001,0.2,2.5,1.2,50
36,30.8785,10,14,0.95,0.2,2.4,1.2,50
37,30.8785,10,14,0.95,0.2,2.4,1.2,50
38,30.5699,9,19,0.8500000000000001,0.2,2.5,1.2,50
39,30.4200,10,19,0.8,0.2,2.3,1.0,50
40,30.4200,10,19,0.8,0.2,2.3,1.0,50
41,30.4200,10,19,0.8,0.2,2.3,1.0,50
